class,name,number
/m/0c3f7m,Fire alarm,57
/m/02fxyj,Humming,54
/m/0395lw,Bell,56
/m/0dwtp,Glockenspiel,59
/m/0g12c5,Distortion,59
/m/07r67yg,Ding-dong,52
/m/06bxc,Rapping,54
/m/0cdnk,"Roaring cats (lions, tigers)",55
/m/0838f,Water,248
/m/064t9,Pop music,55
/m/0199g,Bicycle,57
/m/03m5k,Harp,58
/m/018vs,Bass guitar,58
/m/0939n_,Gargling,53
/m/02rhddq,Reversing beeps,55
/m/07pp8cl,Telephone bell ringing,54
/m/04wptg,Wedding music,59
/m/0fqfqc,Drawer open or close,60
/m/0dq0md,Music of Bollywood,48
/m/07pdjhy,Rub,141
/m/06_fw,Skateboard,56
/m/01p970,Tabla,58
/m/0chx_,White noise,56
/m/0342h,Guitar,343
/m/030rvx,Buzzer,54
/m/06w87,"Steel guitar, slide guitar",55
/m/0145m,Afrobeat,54
/m/028ght,Applause,54
/m/0fx9l,Microwave oven,52
/m/07lnk,Trance music,56
/m/09ddx,Duck,57
/m/02fs_r,"Beep, bleep",54
/m/07pqn27,Bouncing,57
/m/0mkg,Accordion,57
/m/068zj,Pig,51
/m/0316dw,Typing,64
/m/07rgkc5,Static,58
/m/0ggx5q,Dance music,48
/m/07p78v5,Zing,50
/m/06hps,"Rodents, rats, mice",59
/m/03lty,Heavy metal,54
/m/07qmpdm,Clatter,57
/m/01w250,Whistling,53
/m/015y_n,Swing music,55
/m/03q5t,Harpsichord,58
/m/01h82_,Engine knocking,58
/m/015vgc,Carnatic music,57
/m/05lls,Opera,57
/m/07rknqz,Skidding,58
/m/0f8s22,Chime,62
/m/01yrx,Cat,111
/m/07q7njn,"Chink, clink",55
/m/028sqc,Music of Asia,53
/m/07qc9xj,Clicking,56
/m/01g50p,"Railroad car, train wagon",175
/m/0k65p,Hands,55
/m/073cg4,Cap gun,58
/m/04k94,Liquid,54
/m/0xzly,Maraca,54
/m/04rmv,Mouse,56
/m/05x_td,"Air horn, truck horn",59
/m/02qmj0d,String section,56
/m/01bjv,Bus,53
/m/07qv_x_,Shuffle,57
/m/0gg8l,Bluegrass,59
/m/07st88b,Croak,53
/m/0llzx,Sewing machine,60
/t/dd00048,Train wheels squealing,60
/m/01m4t,Printer,54
/m/07rn7sz,Shatter,57
/m/02p3nc,Hiccup,53
/m/03r5q_,Jingle (music),51
/m/07qf0zm,Howl,58
/m/02_41,Fire,60
/m/085jw,"Wind instrument, woodwind instrument",241
/m/05zc1,Pulleys,57
/m/0283d,Drum and bass,53
/m/02rtxlg,Whispering,50
/m/02x984l,Mechanical fan,58
/m/07qjznt,Tick,57
/m/03wwcy,Doorbell,49
/m/07k1x,Tools,98
/m/02bxd,Didgeridoo,58
/m/07qh7jl,Creak,58
/t/dd00129,"Outside, rural or natural",230
/m/083vt,Wood,156
/m/011k_j,Timpani,57
/t/dd00002,"Baby cry, infant cry",52
/m/01c194,Mantra,56
/m/07qwyj0,Rustle,55
/m/014zdl,Explosion,58
/m/01jg1z,Heart murmur,49
/m/06cqb,Reggae,58
/m/0261r1,Babbling,53
/m/03qc9zr,Screaming,52
/m/07pt_g0,Pulse,56
/m/07swgks,Gurgling,54
/m/012n7d,Ambulance (siren),64
/m/07pczhz,Chop,55
/m/09d5_,Owl,58
/m/05_wcq,"Bird flight, flapping wings",48
/m/012f08,Motor vehicle (road),58
/t/dd00066,Medium engine (mid frequency),60
/m/0fx80y,Plucked string instrument,297
/m/027m70_,Jingle bell,56
/m/09x0r,Speech,5199
/m/07c6l,Trombone,62
/m/0l14jd,Choir,60
/m/01bns_,Zither,57
/m/06wzb,Steam,61
/m/03qtwd,Crowd,131
/m/028v0c,Silence,56
/m/07r10fb,Raindrop,59
/m/07q0h5t,Bleat,52
/t/dd00005,Child singing,56
/m/015p6,Bird,167
/m/03dnzn,Bathtub (filling or washing),43
/m/0dl5d,Progressive rock,58
/m/0cmf2,"Fixed-wing aircraft, airplane",58
/m/0319l,French horn,60
/m/02k_mr,Drum roll,64
/t/dd00130,Engine starting,57
/m/04gxbd,"Power windows, electric windows",55
/m/05r6t,Punk rock,56
/m/05rwpb,Independent music,57
/m/03qjg,Harmonica,57
/m/016cjb,Gospel music,55
/m/0gvgw0,Air brake,59
/m/02hnl,Drum kit,89
/m/07qwf61,Honk,55
/m/07sr1lc,Yell,57
/m/04brg2,"Dishes, pots, and pans",56
/m/05zppz,"Male speech, man speaking",52
/m/0g6b5,Fireworks,54
/t/dd00121,Boing,45
/m/04cvmfc,Roar,55
/m/04rlf,Music,5666
/m/07p7b8y,Fill (with liquid),55
/m/01xqw,Cello,66
/m/0463cq4,"Crying, sobbing",49
/m/06mb1,Rain,103
/m/07pws3f,Bang,54
/m/07s04w4,Snicker,52
/m/0140xf,Christmas music,58
/m/0h9mv,Tire squeal,60
/m/07pdhp0,Biting,54
/m/0242l,Coin (dropping),52
/m/07bjf,Single-lens reflex camera,54
/m/07q4ntr,Bellow,48
/m/0jb2l,Thunderstorm,56
/m/04fq5q,Foghorn,56
/m/0bt9lr,Dog,263
/m/039jq,Glass,59
/m/0j2kx,Waterfall,57
/m/07s02z0,Squeal,57
/m/07bgp,Sheep,51
/m/07pn_8q,Chopping (food),56
/t/dd00001,Baby laughter,51
/m/0mbct,Gong,59
/m/03v3yw,Keys jangling,57
/m/07qv4k0,Scrape,59
/m/07r5c2p,Caw,57
/m/06j6l,Rhythm and blues,52
/m/02qldy,"Narration, monologue",56
/m/03cl9h,"Ice cream truck, ice cream van",52
/m/07yv9,Vehicle,822
/m/0k5j,Aircraft,105
/m/0284vy3,Train horn,59
/m/07p6mqd,Slosh,50
/m/0195fx,"Subway, metro, underground",57
/m/07rpkh9,Moo,56
/m/07qlf79,Spray,47
/m/07pjjrj,"Smash, crash",53
/m/026z9,Disco,52
/m/07r4gkf,Patter,58
/m/01v_m0,Sine wave,59
/m/01x3z,Clock,56
/m/02cjck,Theme music,56
/m/0c2wf,Typewriter,56
/m/07cx4,Telephone,53
/m/02sgy,Electric guitar,64
/m/07pqc89,"Trickle, dribble",53
/m/01b82r,Sawing,60
/m/0790c,Sonar,52
/m/07q2z82,"Accelerating, revving, vroom",58
/m/03qtq,Hi-hat,57
/m/06by7,Rock music,66
/m/07rkbfh,Chatter,52
/m/07qnq_y,"Thump, thud",57
/m/07pzfmf,Crackle,56
/m/07qdb04,Quack,69
/m/02g901,"Electric shaver, electric razor",58
/m/0b_fwt,Electronic tuner,59
/m/01s0vc,Zipper (clothing),52
/m/042v_gx,Acoustic guitar,59
/m/02w4v,Folk music,52
/m/07plz5l,Sigh,50
/m/07s12q4,Crunch,51
/m/07svc2k,Gobble,60
/m/09ld4,Frog,54
/m/09xqv,Cricket,59
/m/096m7z,Noise,57
/m/04szw,Musical instrument,518
/m/07r_25d,Coo,59
/m/02mk9,Engine,182
/m/023vsd,Sanding,58
/m/07pbtc8,"Walk, footsteps",56
/m/07prgkl,Pour,58
/m/07phxs1,Ding,52
/m/0l14gg,Soundtrack music,58
/t/dd00013,Children playing,55
/m/02c8p,"Telephone dialing, DTMF",47
/m/07qsvvw,"Burst, pop",57
/m/07qb_dv,Scratch,56
/m/0b9m1,Harmonic,58
/m/03p19w,Jackhammer,59
/m/06xkwv,Mains hum,65
/m/07gql,Trumpet,56
/m/02rr_,Effects unit,105
/m/07jdr,Train,181
/m/0l14_3,Bowed string instrument,108
/m/01280g,Wild animals,56
/t/dd00077,Mechanisms,114
/m/02z32qm,Fusillade,59
/m/0h2mp,"Fly, housefly",105
/m/07kc_,Theremin,57
/m/07rrh0c,Thunk,54
/m/0239kh,Cowbell,58
/m/05rj2,Shuffling cards,53
/m/07xzm,Ukulele,59
/m/025wky1,Air conditioning,57
/m/0ghcn6,Growling,56
/m/07ryjzk,"Slap, smack",47
/m/02jz0l,"Water tap, faucet",78
/t/dd00127,"Inside, public space",51
/m/0155w,Blues,55
/m/0dls3,Grunge,57
/m/02fsn,Double bass,60
/m/018j2,Banjo,55
/m/01lyv,Country,59
/m/07s0s5r,Strum,60
/m/01d3sd,Snoring,58
/m/07ppn3j,Sniff,58
/t/dd00032,Funny music,52
/m/01d380,Drill,58
/m/02x8m,Funk,56
/m/08cyft,Electronic dance music,57
/m/06rqw,Ska,55
/m/07rcgpl,Hum,101
/m/07qfgpx,"Jingle, tinkle",52
/t/dd00037,Scary music,55
/m/02dgv,Door,56
/m/0ln16,Salsa music,56
/m/05r5wn,Rattle (instrument),57
/m/0brhx,Speech synthesizer,54
/m/03fwl,Goat,55
/m/03kmc9,Siren,185
/m/0z9c,A capella,56
/t/dd00112,"Crumpling, crinkling",56
/m/07rgt08,"Chuckle, chortle",51
/m/04zjc,Machine gun,51
/m/07rdhzs,"Whack, thwack",57
/m/0l14t7,Singing bowl,57
/m/07hvw1,Field recording,58
/m/07qn5dc,"Crowing, cock-a-doodle-doo",49
/m/04229,Jet engine,61
/m/07pyy8b,Pant,51
